연월,g평균,g최고,g최저,g강수량,s평균,s최고,s최저,s강수량,j평균,j최고,j최저,j강수량
2008년 1월,1.1,4.9,-2,82.6,-1.7,1.9,-5,17.7,6.4,8.5,4.5,156.8
2008년 2월,2,6.8,-1.9,0,-1.2,3.2,-4.9,15,5.1,7.8,2.6,31
2008년 3월,7.5,12,3.4,117.3,7.3,11.9,3.7,53.9,10,13.4,7,77.5
2008년 4월,13.8,18.5,9.5,34.2,14.1,19.5,9.3,38.5,14.2,17.5,11.1,85.7
2008년 5월,18.8,23.6,14.4,69.3,17.7,22.7,13.1,97.7,17.2,21,13.7,135
2008년 6월,19.8,23.3,16.2,106.7,21.5,26.1,17.6,165,20.8,23.6,18.4,260.5
2008년 7월,26.7,30.3,23.5,322.7,25.1,28.4,22.6,530.8,27.2,30.2,24.6,61.5
2008년 8월,24,27.2,21.1,330.6,25.3,29.5,21.8,251.2,26.7,29.7,24.4,243.7
2008년 9월,21.8,25.6,18.5,131.7,22,26.9,18,99.2,23.9,26.5,21.8,126.3
2008년 10월,18.3,22.6,14.7,43.9,16.1,21,12.1,41.8,19.3,22.4,16.5,29.3
2008년 11월,8.4,12.1,5.3,191.6,6.9,10.4,3.7,52.4,12.4,15.2,10,115.3
2008년 12월,4.1,7.9,0.5,54.6,1.1,5,-2.7,25.9,8.4,11.7,5.3,28.2
2009년 1월,1.2,5.5,-2.3,24,-2,2.3,-5.5,5.7,5.5,7.9,3,61.7
2009년 2월,5.4,9.4,2.1,20.6,2.9,6.8,-0.6,36.9,8.7,11.6,5.7,113.7
2009년 3월,7.3,11.1,3.5,70.9,6,10.6,1.8,63.9,9.8,13.4,6.3,50.9
2009년 4월,13.1,18.2,8,56,12.7,18,8.1,66.5,13.7,17.3,10.1,94.4
2009년 5월,19,23.7,14.5,43,19.1,24.3,14.6,109,18.6,22.7,14.9,52.2
2009년 6월,21.6,25.5,17.7,102.6,22.4,26.7,18.8,132,22.6,26.1,19.6,155.8
2009년 7월,22.8,26.8,19.5,405.1,24.3,28.2,21,659.4,25.8,28.8,23.2,201.1
2009년 8월,23.3,26.9,20.1,170.2,25.7,29.5,22.4,285.3,25.6,28.2,23.4,240.5
2009년 9월,20.2,24.6,16.4,50.3,21.8,26.3,17.7,64.5,22.9,25.4,20.7,113.3
2009년 10월,16.4,21.4,12.2,31.2,16,20.9,11.7,66.9,19,22.4,15.9,77.4
2009년 11월,8.4,12.1,5.3,191.6,6.9,10.4,3.7,52.4,12.4,15.2,10,115.3
2009년 12월,2.1,6.5,-1.3,17.5,-1,2.5,-4.2,21.5,7.3,9.8,4.8,28.5
2010년 1월,-0.1,4.7,-4.2,35.6,-4.5,-0.7,-8.1,29.3,5.3,8.3,2.5,34.6
2010년 2월,2.4,7,-1.6,94.7,1.4,4.9,-1.7,55.3,7.3,10.5,4.4,81.7
2010년 3월,4,7.7,0.9,172.5,4.3,8.1,0.5,82.5,9.3,13,5.9,161.3
2010년 4월,10.1,14.6,5.7,28.4,9.5,14,5.6,62.8,11.8,15.2,8.6,210.5
2010년 5월,17.4,22,12.8,110,17.2,22,13,124,17.3,21.2,14.1,33.6
2010년 6월,22,26.7,17.4,34.7,23.4,28.2,19.3,127.6,21.2,24.1,18.8,188
2010년 7월,25.8,29.2,22.8,88.5,25.8,29.3,23.1,239.2,25.9,28.9,23.5,263.9
2010년 8월,26.5,30.2,23.6,175.4,26.5,30,23.8,598.7,28.8,32.1,26.4,227.6
2010년 9월,20.7,24.4,17.5,271,21.8,26,18.5,671.5,24.2,27.2,21.6,179.1
2010년 10월,14.9,19.3,11.3,53.5,14.5,19.3,10.4,25.6,17.6,20.3,15,120.3
2010년 11월,9.4,14.2,5,12.5,6.5,11.3,2.5,10.9,11.7,15.2,8.1,1.8
2010년 12월,2.9,7.6,-1.5,26,-1.3,3.1,-5.1,16.1,1.7,5.8,-1.6,35.5
2011년 1월,-2.8,1.9,-6.7,13,-7.2,-3.4,-10.5,8.9,2.3,4.1,0.7,15.6
2011년 2월,2.5,6.7,-1.2,144,1.2,5.9,-2.5,29.1,7,10.1,4.2,35.1
2011년 3월,5.5,10.1,1.2,26.5,3.6,8.3,-0.1,14.6,7.8,10.7,5.1,32.4
2011년 4월,11.7,16.7,6.8,133,10.7,15.6,6.8,110.1,13.2,17,9.3,51.3
2011년 5월,16,20.7,12.3,88,17.9,23,13.6,53.4,18.2,21.6,15.1,66.1
2011년 6월,22,26,18,343,22,26.6,18.4,404.5,21.7,24.5,19.4,398.6
2011년 7월,23.4,26.3,21.1,318.2,24.6,28,22,"1,131.00",27.3,30.7,24.5,68.3
2011년 8월,25.3,28.9,22.4,121.2,25.8,29.5,23,166.8,26,28.7,24.1,423.1
2011년 9월,20.2,24.2,16.9,320.9,21.8,26.6,17.7,25.6,23.1,26.1,20.7,47.8
2011년 10월,14.8,19.6,10.8,64.8,14.2,19.3,9.7,32,17.9,20.8,15,49.1
2011년 11월,11.2,15.3,7.7,132.9,10.7,14.7,7.2,56.2,15.7,18.4,13.4,231.3
2011년 12월,1.5,5.7,-1.8,105,-0.9,2.9,-4.1,7.1,7.1,9.2,5,59.9
2012년 1월,-0.1,4.1,-3.2,39,-2.8,1.3,-6.3,6.7,5.4,7.4,3.3,32.9
2012년 2월,0.4,5.1,-3.8,23.1,-2,3,-6,0.8,4.8,7.4,2.3,109.1
2012년 3월,5.7,9.6,1.9,126.7,5.1,9.5,1.5,47.4,9,12.1,6.1,171.9
2012년 4월,13.3,18.3,8.6,126.5,12.3,17.9,7.8,157,14.5,18.6,10.5,165
2012년 5월,17.6,21.9,13.6,52.7,19.7,25.1,15.4,8.2,19,22.6,15.8,99
2012년 6월,20.6,24.1,17.5,26.8,24.1,29.7,20,91.9,22.3,24.7,20.3,104.8
2012년 7월,25.3,28.9,22.1,261.2,25.4,29,22.4,448.9,26.6,29.4,24.2,207.3
2012년 8월,25.1,28.4,22.3,295.3,27.1,30.9,23.9,464.9,27.8,30.4,25.9,601.9
2012년 9월,20.2,24.1,16.9,290.7,21,25,17.4,212,22,24.7,19.7,499.1
2012년 10월,15.8,20.8,11.4,10.6,15.3,20.5,11,99.3,18.4,21.8,15.4,35.7
2012년 11월,7.8,12.3,4,25.6,5.5,9.5,1.8,67.8,12,14.7,9.5,90.6
2012년 12월,-0.1,4.4,-3.8,43.2,-4.1,-0.5,-7.4,41.4,6.6,9.2,4.1,131
2013년 1월,-0.5,4,-4.3,54.6,-3.4,0.3,-6.6,22.1,5.6,8.2,3,20.5
2013년 2월,1.8,6.7,-2.5,13.6,-1.2,2.8,-4.9,74.1,6.2,9.3,3.2,60.5
2013년 3월,7.4,12.2,2.7,81.8,5.1,10.8,0.7,27.3,10,15.2,5.9,55.2
2013년 4월,10.8,15.3,6.1,58,10,15,5.7,71.7,13.5,17.7,9.6,94.5
2013년 5월,18.1,23.1,13.6,78.7,18.2,23.6,13.7,132,18.6,22.4,15.2,59.7
2013년 6월,21.5,25,18.4,36,24.4,29.2,20.5,28.3,21.7,24.6,19.7,160.5
2013년 7월,27,30.7,23.9,241.9,25.5,28.3,23.4,676.2,28.7,32.1,25.7,14.7
2013년 8월,28.5,32.5,25.3,54.6,27.7,31.1,24.8,148.6,29.1,32.4,26.3,74.2
2013년 9월,20.8,24.6,17.7,135.5,21.8,25.9,18,138.5,24,26.8,21.4,82.1
2013년 10월,15.8,20.4,11.9,130.8,15.8,21.2,10.9,13.5,19.2,21.9,16.7,113.3
2013년 11월,8.8,13.1,4.8,9.8,6.2,10.7,2.1,46.8,12.9,15.8,9.9,82.1
2013년 12월,3.1,7.2,-0.3,26.4,-0.2,3.5,-3.5,24.7,8.1,10.6,5.6,41.8