경기순환,start,end,name1,name2
상승기,1972-3-1,1974-2-1,T,P
하강기,1974-2-1,1975-6-1,P,T
상승기,1975-6-1,1979-2-1,T,P
하강기,1979-2-1,1980-9-1,P,T
상승기,1980-9-1,1984-2-1,T,P
하강기,1984-2-1,1985-9-1,P,T
상승기,1985-9-1,1988-1-1,T,P
하강기,1988-1-1,1989-7-1,P,T
상승기,1989-7-1,1992-1-1,T,P
하강기,1992-1-1,1993-1-1,P,T
상승기,1993-1-1,1996-3-1,T,P
하강기,1996-3-1,1998-8-1,P,T
상승기,1998-8-1,2000-8-1,T,P
하강기,2000-8-1,2001-7-1,P,T
상승기,2001-7-1,2002-12-1,T,P
하강기,2002-12-1,2005-4-1,P,T
상승기,2005-4-1,2008-1-1,T,P
하강기,2008-1-1,2009-2-1,P,T
상승기,2009-2-1,2011-8-1,T,P